ID,Age,Agency,Agency Type,Commision (in value),Destination,Distribution Channel,Duration,Gender,Net Sales,Product Name,Claim
59373,16,C2B,Airlines,7.38,SINGAPORE,Online,8,M,29.5,Silver Plan,0
32623,46,CWT,Travel Agency,5.94,UNITED KINGDOM,Online,7,,9.9,Rental Vehicle Excess Insurance,0
37108,34,C2B,Airlines,4.25,SINGAPORE,Online,8,M,17.0,Bronze Plan,1
28549,36,C2B,Airlines,3.38,SINGAPORE,Online,53,M,13.5,Bronze Plan,0
22096,36,EPX,Travel Agency,0.0,SINGAPORE,Online,3,,17.0,Cancellation Plan,0
62475,35,EPX,Travel Agency,0.0,CAMBODIA,Online,5,,10.0,Cancellation Plan,0
55590,67,CWT,Travel Agency,41.58,AUSTRALIA,Online,33,,69.3,Rental Vehicle Excess Insurance,0
18559,26,C2B,Airlines,9.59,SINGAPORE,Online,10,F,38.35,Bronze Plan,1
58388,26,C2B,Airlines,54.0,SINGAPORE,Online,364,F,216.0,Annual Silver Plan,0
38781,21,C2B,Airlines,7.38,SINGAPORE,Online,12,M,29.5,Bronze Plan,0
43763,36,EPX,Travel Agency,0.0,HONG KONG,Online,11,,27.0,Cancellation Plan,0
3672,36,EPX,Travel Agency,0.0,JAPAN,Online,147,,35.0,Cancellation Plan,1
5424,47,JZI,Airlines,12.95,PHILIPPINES,Online,151,F,37.0,Basic Plan,0
60679,45,EPX,Travel Agency,0.0,UNITED STATES,Online,51,,112.0,2 way Comprehensive Plan,1
47696,22,EPX,Travel Agency,0.0,JAPAN,Online,5,,10.0,Cancellation Plan,0
1223,48,CWT,Travel Agency,11.88,MALAYSIA,Online,4,,19.8,Rental Vehicle Excess Insurance,0
49960,36,EPX,Travel Agency,0.0,CHINA,Online,7,,32.0,2 way Comprehensive Plan,0
31524,37,CWT,Travel Agency,95.04,NEW ZEALAND,Online,61,,158.4,Rental Vehicle Excess Insurance,1
8439,36,EPX,Travel Agency,0.0,UNITED KINGDOM,Online,28,,55.0,Cancellation Plan,0
60201,36,RAB,Airlines,12.4,BRUNEI DARUSSALAM,Online,21,,31.0,Value Plan,0
7032,28,EPX,Travel Agency,0.0,CANADA,Online,131,,10.0,Cancellation Plan,0
55958,35,CWT,Travel Agency,17.82,GREECE,Online,22,,29.7,Rental Vehicle Excess Insurance,1
4420,48,C2B,Airlines,75.25,SINGAPORE,Online,390,F,301.0,Annual Silver Plan,1
56484,22,C2B,Airlines,84.13,SINGAPORE,Online,197,F,336.5,Bronze Plan,1
54425,36,EPX,Travel Agency,0.0,INDIA,Online,40,,10.0,Cancellation Plan,0
12501,50,EPX,Travel Agency,0.0,THAILAND,Online,16,,20.0,2 way Comprehensive Plan,0
19735,36,EPX,Travel Agency,0.0,THAILAND,Online,21,,20.0,2 way Comprehensive Plan,0
48719,64,EPX,Travel Agency,0.0,SINGAPORE,Online,7,,10.0,Cancellation Plan,0
248,45,C2B,Airlines,10.89,SINGAPORE,Online,10,M,43.55,Silver Plan,1
28829,36,EPX,Travel Agency,0.0,CHINA,Online,15,,53.0,Cancellation Plan,0
6201,118,ART,Airlines,14.0,NEPAL,Online,27,M,40.0,Value Plan,0
38720,36,EPX,Travel Agency,0.0,JAPAN,Online,78,,18.0,Cancellation Plan,0
5549,36,EPX,Travel Agency,0.0,MALAYSIA,Online,68,,15.0,Cancellation Plan,0
39774,36,EPX,Travel Agency,0.0,JAPAN,Online,138,,16.0,Cancellation Plan,0
56246,33,LWC,Travel Agency,166.53,UNITED STATES,Online,379,F,256.2,Annual Travel Protect Gold,1
31488,59,JZI,Airlines,6.3,MALAYSIA,Online,5,F,18.0,Basic Plan,0
31594,39,EPX,Travel Agency,0.0,UNITED STATES,Online,4,,54.0,Cancellation Plan,0
52006,41,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,110,,15.0,Value Plan,0
8600,36,EPX,Travel Agency,0.0,HONG KONG,Online,24,,35.0,Cancellation Plan,0
58091,33,EPX,Travel Agency,0.0,SRI LANKA,Online,40,,22.0,2 way Comprehensive Plan,0
28073,52,C2B,Airlines,4.25,SINGAPORE,Online,11,M,17.0,Bronze Plan,1
18809,31,CWT,Travel Agency,17.82,MALAYSIA,Online,5,,29.7,Rental Vehicle Excess Insurance,0
55915,22,C2B,Airlines,5.63,SINGAPORE,Online,19,M,22.5,Silver Plan,1
33288,36,EPX,Travel Agency,0.0,CHINA,Online,18,,49.0,2 way Comprehensive Plan,0
19715,36,EPX,Travel Agency,0.0,MYANMAR,Online,16,,50.0,2 way Comprehensive Plan,0
27060,48,KML,Travel Agency,10.64,INDONESIA,Online,18,F,28.0,Value Plan,1
41473,31,CWT,Travel Agency,17.82,AUSTRALIA,Online,39,,29.7,Rental Vehicle Excess Insurance,0
22874,54,C2B,Airlines,6.01,SINGAPORE,Online,34,F,24.05,Silver Plan,0
40604,33,C2B,Airlines,6.63,SINGAPORE,Online,46,F,-26.5,Bronze Plan,0
21133,118,JWT,Airlines,15.6,INDIA,Online,6,F,39.0,Value Plan,0
21388,36,EPX,Travel Agency,0.0,MALAYSIA,Online,5,,20.0,1 way Comprehensive Plan,0
17821,36,EPX,Travel Agency,0.0,HONG KONG,Online,15,,21.0,2 way Comprehensive Plan,0
30565,56,EPX,Travel Agency,0.0,CHINA,Online,89,,93.0,2 way Comprehensive Plan,0
53966,59,TST,Travel Agency,10.5,MALAYSIA,Offline,15,F,30.0,Travel Cruise Protect,0
33412,43,C2B,Airlines,4.25,SINGAPORE,Online,10,F,17.0,Bronze Plan,1
39603,36,EPX,Travel Agency,0.0,UNITED KINGDOM,Online,82,,57.0,Cancellation Plan,1
29173,36,EPX,Travel Agency,0.0,CHINA,Online,11,,17.0,Cancellation Plan,0
51324,39,JZI,Airlines,9.1,INDONESIA,Online,7,F,0.0,Value Plan,0
47635,44,EPX,Travel Agency,0.0,THAILAND,Online,11,,23.0,2 way Comprehensive Plan,0
46941,26,C2B,Airlines,4.63,SINGAPORE,Online,3,F,18.5,Silver Plan,0
55576,43,C2B,Airlines,59.88,SINGAPORE,Online,367,M,239.5,Annual Gold Plan,1
9707,53,CWT,Travel Agency,29.7,AUSTRALIA,Online,109,,0.0,Rental Vehicle Excess Insurance,0
17539,70,CBH,Travel Agency,9.57,MALAYSIA,Offline,54,F,29.0,Comprehensive Plan,0
52228,36,EPX,Travel Agency,0.0,INDONESIA,Online,74,,25.0,2 way Comprehensive Plan,0
21325,36,EPX,Travel Agency,0.0,PHILIPPINES,Online,30,,12.0,Cancellation Plan,0
49840,36,EPX,Travel Agency,0.0,UNITED KINGDOM,Online,1,,19.0,Cancellation Plan,0
32790,34,EPX,Travel Agency,0.0,BRUNEI DARUSSALAM,Online,34,,19.0,Cancellation Plan,1
19095,36,EPX,Travel Agency,0.0,SINGAPORE,Online,12,,10.0,Cancellation Plan,0
7484,27,C2B,Airlines,17.39,SINGAPORE,Online,30,M,69.55,Bronze Plan,0
20248,36,EPX,Travel Agency,0.0,HONG KONG,Online,4,,15.0,Cancellation Plan,0
50149,36,EPX,Travel Agency,0.0,INDONESIA,Online,2,,20.0,Cancellation Plan,0
47957,44,JZI,Airlines,6.3,MYANMAR,Online,17,M,18.0,Basic Plan,0
30017,44,C2B,Airlines,63.21,SINGAPORE,Online,364,M,252.85,Annual Silver Plan,1
6272,71,EPX,Travel Agency,0.0,PHILIPPINES,Online,13,,28.0,2 way Comprehensive Plan,0
13813,36,EPX,Travel Agency,0.0,GERMANY,Online,14,,100.0,2 way Comprehensive Plan,1
58666,50,EPX,Travel Agency,0.0,MALAYSIA,Online,86,,10.0,Cancellation Plan,0
45760,66,EPX,Travel Agency,0.0,THAILAND,Online,23,,29.0,2 way Comprehensive Plan,0
51353,31,CWT,Travel Agency,23.76,ITALY,Online,39,,39.6,Rental Vehicle Excess Insurance,0
61239,37,C2B,Airlines,7.38,SINGAPORE,Online,14,M,29.5,Silver Plan,1
32403,50,C2B,Airlines,4.63,SINGAPORE,Online,12,M,18.5,Silver Plan,0
62081,35,EPX,Travel Agency,0.0,CHINA,Online,54,,30.0,1 way Comprehensive Plan,0
53438,36,EPX,Travel Agency,0.0,UNITED KINGDOM,Online,49,,102.0,2 way Comprehensive Plan,0
39509,29,CWT,Travel Agency,35.64,AUSTRALIA,Online,18,,59.4,Rental Vehicle Excess Insurance,0
35088,46,CWT,Travel Agency,23.76,THAILAND,Online,137,,39.6,Rental Vehicle Excess Insurance,0
37559,48,KML,Travel Agency,60.04,PERU,Online,27,M,158.0,Premier Plan,0
1306,30,EPX,Travel Agency,0.0,CANADA,Online,273,,72.0,Cancellation Plan,0
25874,43,C2B,Airlines,63.21,SINGAPORE,Online,376,F,252.85,Annual Silver Plan,1
48960,51,JZI,Airlines,10.5,MALAYSIA,Online,7,M,30.0,Basic Plan,0
2436,36,EPX,Travel Agency,0.0,CHINA,Online,56,,24.0,Cancellation Plan,0
29957,36,EPX,Travel Agency,0.0,PHILIPPINES,Online,118,,20.0,1 way Comprehensive Plan,0
47573,52,C2B,Airlines,5.0,SINGAPORE,Online,14,F,20.0,Bronze Plan,0
57493,19,JZI,Airlines,14.0,CHINA,Online,18,M,40.0,Basic Plan,0
32845,25,C2B,Airlines,11.75,SINGAPORE,Online,36,F,47.0,Bronze Plan,0
41807,28,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,6,M,0.0,Value Plan,0
48172,33,JZI,Airlines,7.7,VIET NAM,Online,6,M,22.0,Basic Plan,0
38499,36,C2B,Airlines,63.21,SINGAPORE,Online,364,F,252.85,Annual Silver Plan,0
48841,16,C2B,Airlines,54.0,SINGAPORE,Online,373,F,216.0,Annual Silver Plan,1
37663,36,EPX,Travel Agency,0.0,JAPAN,Online,83,,22.0,Cancellation Plan,0
4356,36,EPX,Travel Agency,0.0,AUSTRALIA,Online,40,,26.0,Cancellation Plan,0
1037,48,SSI,Airlines,0.77,SINGAPORE,Online,48,,2.76,Ticket Protector,0
51589,36,EPX,Travel Agency,0.0,SINGAPORE,Online,2,,20.0,1 way Comprehensive Plan,0
54686,42,LWC,Travel Agency,18.85,HONG KONG,Online,17,F,29.0,Single Trip Travel Protect Gold,0
9359,36,EPX,Travel Agency,0.0,JAPAN,Online,91,,49.0,Cancellation Plan,0
50960,34,C2B,Airlines,64.8,SINGAPORE,Online,370,F,259.2,Annual Silver Plan,0
37847,36,EPX,Travel Agency,0.0,CHINA,Online,56,,14.0,Cancellation Plan,0
18058,36,EPX,Travel Agency,0.0,CHINA,Online,5,,35.0,Cancellation Plan,0
44293,36,EPX,Travel Agency,0.0,CHINA,Online,27,,32.0,2 way Comprehensive Plan,0
59208,26,CWT,Travel Agency,41.58,THAILAND,Online,45,,69.3,Rental Vehicle Excess Insurance,0
60735,26,LWC,Travel Agency,132.99,CHINA,Online,368,F,204.6,Annual Travel Protect Gold,1
41167,44,EPX,Travel Agency,0.0,SINGAPORE,Online,12,,10.0,Cancellation Plan,0
36291,35,C2B,Airlines,8.38,SINGAPORE,Online,18,M,33.5,Silver Plan,0
3923,25,C2B,Airlines,38.5,SINGAPORE,Online,33,F,154.0,Bronze Plan,0
7629,36,EPX,Travel Agency,0.0,INDIA,Online,42,,22.0,1 way Comprehensive Plan,0
60284,26,CWT,Travel Agency,23.76,AUSTRALIA,Online,184,,39.6,Rental Vehicle Excess Insurance,0
8930,29,C2B,Airlines,5.75,SINGAPORE,Online,58,M,23.0,Bronze Plan,0
25425,39,EPX,Travel Agency,0.0,VIET NAM,Online,3,,20.0,1 way Comprehensive Plan,1
30574,36,EPX,Travel Agency,0.0,ISRAEL,Online,17,,60.0,Cancellation Plan,1
15551,28,EPX,Travel Agency,0.0,THAILAND,Online,20,,40.0,2 way Comprehensive Plan,1
48566,36,EPX,Travel Agency,0.0,VIET NAM,Online,27,,16.0,Cancellation Plan,0
17708,36,EPX,Travel Agency,0.0,INDONESIA,Online,20,,10.0,Cancellation Plan,0
27687,36,EPX,Travel Agency,0.0,HUNGARY,Online,90,,66.0,Cancellation Plan,0
16647,36,EPX,Travel Agency,0.0,MALAYSIA,Online,3,,20.0,2 way Comprehensive Plan,0
52893,36,EPX,Travel Agency,0.0,AUSTRALIA,Online,21,,54.0,Cancellation Plan,0
54447,36,EPX,Travel Agency,0.0,BRUNEI DARUSSALAM,Online,77,,24.0,Cancellation Plan,0
44757,25,C2B,Airlines,64.8,SINGAPORE,Online,366,F,259.2,Annual Silver Plan,1
29158,51,EPX,Travel Agency,0.0,INDONESIA,Online,18,,10.0,Cancellation Plan,0
58960,41,C2B,Airlines,15.0,SINGAPORE,Online,59,M,60.0,Bronze Plan,1
46387,36,EPX,Travel Agency,0.0,INDONESIA,Online,13,,20.0,2 way Comprehensive Plan,0
37704,48,KML,Travel Agency,41.42,NETHERLANDS,Online,56,F,109.0,Value Plan,0
32657,36,EPX,Travel Agency,0.0,CHINA,Online,3,,79.0,Cancellation Plan,0
51212,36,EPX,Travel Agency,0.0,CHINA,Online,66,,30.0,2 way Comprehensive Plan,0
53045,36,EPX,Travel Agency,0.0,VIET NAM,Online,26,,11.0,Cancellation Plan,0
4124,36,EPX,Travel Agency,0.0,JAPAN,Online,255,,46.0,Cancellation Plan,0
52676,30,EPX,Travel Agency,0.0,THAILAND,Online,22,,20.0,2 way Comprehensive Plan,0
28595,62,C2B,Airlines,63.21,SINGAPORE,Online,365,M,252.85,Annual Silver Plan,1
37067,36,EPX,Travel Agency,0.0,CHINA,Online,67,,21.0,Cancellation Plan,0
29828,23,C2B,Airlines,4.25,SINGAPORE,Online,13,M,17.0,Bronze Plan,0
17359,36,EPX,Travel Agency,0.0,INDONESIA,Online,12,,29.0,2 way Comprehensive Plan,0
17883,36,EPX,Travel Agency,0.0,INDIA,Online,14,,28.0,Cancellation Plan,0
32267,36,EPX,Travel Agency,0.0,AUSTRALIA,Online,16,,0.0,2 way Comprehensive Plan,0
27939,36,EPX,Travel Agency,0.0,CAMBODIA,Online,80,,28.0,2 way Comprehensive Plan,0
55715,16,C2B,Airlines,15.0,SINGAPORE,Online,15,M,60.0,Bronze Plan,1
16729,36,EPX,Travel Agency,0.0,INDONESIA,Online,9,,12.0,Cancellation Plan,0
26103,36,EPX,Travel Agency,0.0,MACAO,Online,11,,20.0,2 way Comprehensive Plan,0
22607,36,RAB,Airlines,12.4,BRUNEI DARUSSALAM,Online,63,,31.0,Value Plan,0
26095,36,EPX,Travel Agency,0.0,MALAYSIA,Online,10,,20.0,2 way Comprehensive Plan,0
8148,36,EPX,Travel Agency,0.0,"KOREA, REPUBLIC OF",Online,45,,112.0,2 way Comprehensive Plan,0
25007,47,EPX,Travel Agency,0.0,UNITED STATES,Online,37,,36.0,2 way Comprehensive Plan,0
9548,57,EPX,Travel Agency,0.0,MALAYSIA,Online,14,,20.0,2 way Comprehensive Plan,0
2764,36,EPX,Travel Agency,0.0,INDONESIA,Online,15,,20.0,2 way Comprehensive Plan,0
25144,34,C2B,Airlines,7.64,SINGAPORE,Online,39,F,30.55,Bronze Plan,1
34469,36,EPX,Travel Agency,0.0,SINGAPORE,Online,6,,11.0,Cancellation Plan,0
56061,44,LWC,Travel Agency,49.73,FRANCE,Online,31,M,76.5,Single Trip Travel Protect Gold,1
56671,43,C2B,Airlines,5.0,SINGAPORE,Online,16,M,20.0,Bronze Plan,0
48848,58,CWT,Travel Agency,17.82,AUSTRALIA,Online,12,,29.7,Rental Vehicle Excess Insurance,0
54047,36,EPX,Travel Agency,0.0,JAPAN,Online,73,,59.0,2 way Comprehensive Plan,0
2598,36,EPX,Travel Agency,0.0,JAPAN,Online,42,,37.0,Cancellation Plan,0
307,36,EPX,Travel Agency,0.0,SINGAPORE,Online,9,,30.0,2 way Comprehensive Plan,0
50124,36,EPX,Travel Agency,0.0,PHILIPPINES,Online,17,,24.0,2 way Comprehensive Plan,0
37463,27,C2B,Airlines,5.75,SINGAPORE,Online,31,F,23.0,Bronze Plan,0
12539,46,EPX,Travel Agency,0.0,"TAIWAN, PROVINCE OF CHINA",Online,48,,48.0,2 way Comprehensive Plan,0
44294,36,EPX,Travel Agency,0.0,"KOREA, REPUBLIC OF",Online,115,,55.0,2 way Comprehensive Plan,0
38944,48,SSI,Airlines,1.12,SINGAPORE,Online,56,,3.99,Ticket Protector,0
50646,36,EPX,Travel Agency,0.0,CHINA,Online,12,,38.0,Cancellation Plan,0
13572,43,JZI,Airlines,24.15,"KOREA, REPUBLIC OF",Online,11,M,69.0,Value Plan,0
38311,45,C2B,Airlines,10.38,SINGAPORE,Online,13,M,41.5,Silver Plan,0
1810,36,EPX,Travel Agency,0.0,AUSTRALIA,Online,43,,38.0,2 way Comprehensive Plan,0
6068,38,EPX,Travel Agency,0.0,SINGAPORE,Online,18,,20.0,2 way Comprehensive Plan,0
15701,36,EPX,Travel Agency,0.0,CHINA,Online,15,,30.0,1 way Comprehensive Plan,0
46927,36,C2B,Airlines,6.75,SINGAPORE,Online,8,F,27.0,Bronze Plan,0
60662,61,EPX,Travel Agency,0.0,MALAYSIA,Online,21,,20.0,2 way Comprehensive Plan,0
20506,32,EPX,Travel Agency,0.0,JAPAN,Online,16,,13.0,Cancellation Plan,0
20455,31,EPX,Travel Agency,0.0,INDIA,Online,31,,19.0,Cancellation Plan,0
43625,36,EPX,Travel Agency,0.0,SINGAPORE,Online,20,,80.0,Cancellation Plan,0
33758,39,TTW,Travel Agency,0.0,SINGAPORE,Offline,364,F,97.0,Individual Comprehensive Plan,0
36348,36,EPX,Travel Agency,0.0,UNITED KINGDOM,Online,173,,61.0,Cancellation Plan,0
38245,48,SSI,Airlines,1.33,SINGAPORE,Online,65,,4.76,Ticket Protector,1
4952,35,CWT,Travel Agency,47.52,AUSTRALIA,Online,100,,79.2,Rental Vehicle Excess Insurance,0
48210,26,C2B,Airlines,4.8,SINGAPORE,Online,7,F,19.2,Bronze Plan,1
15005,36,EPX,Travel Agency,0.0,CHINA,Online,39,,44.0,2 way Comprehensive Plan,0
27529,54,EPX,Travel Agency,0.0,HONG KONG,Online,2,,10.0,Cancellation Plan,0
2737,31,CWT,Travel Agency,112.86,FRANCE,Online,175,,188.1,Rental Vehicle Excess Insurance,1
50074,46,C2B,Airlines,40.25,SINGAPORE,Online,365,M,161.0,Annual Silver Plan,0
22870,32,C2B,Airlines,4.39,SINGAPORE,Online,5,F,17.55,Bronze Plan,1
7997,36,EPX,Travel Agency,0.0,CHINA,Online,56,,36.0,2 way Comprehensive Plan,0
33672,36,EPX,Travel Agency,0.0,UNITED STATES,Online,34,,112.0,2 way Comprehensive Plan,1
1110,28,EPX,Travel Agency,0.0,THAILAND,Online,49,,20.0,2 way Comprehensive Plan,0
39769,36,EPX,Travel Agency,0.0,PHILIPPINES,Online,151,,55.0,2 way Comprehensive Plan,0
21754,31,CWT,Travel Agency,47.52,AUSTRALIA,Online,52,,79.2,Rental Vehicle Excess Insurance,1
19210,29,CWT,Travel Agency,23.76,MALAYSIA,Online,19,,39.6,Rental Vehicle Excess Insurance,1
9807,36,EPX,Travel Agency,0.0,CHINA,Online,18,,21.0,Cancellation Plan,0
20724,48,KML,Travel Agency,12.54,INDONESIA,Online,7,M,33.0,Value Plan,0
15176,36,EPX,Travel Agency,0.0,CHINA,Online,56,,46.0,2 way Comprehensive Plan,0
35926,36,EPX,Travel Agency,0.0,HONG KONG,Online,8,,44.0,2 way Comprehensive Plan,0
55673,118,JWT,Airlines,12.4,INDIA,Online,1,M,31.0,Value Plan,0
37419,36,EPX,Travel Agency,0.0,INDONESIA,Online,3,,20.0,1 way Comprehensive Plan,0
2543,41,C2B,Airlines,97.25,SINGAPORE,Online,368,F,389.0,Annual Silver Plan,1
24789,59,EPX,Travel Agency,0.0,INDONESIA,Online,33,,22.0,2 way Comprehensive Plan,0
27409,64,EPX,Travel Agency,0.0,SINGAPORE,Online,28,,10.0,Cancellation Plan,0
50990,36,EPX,Travel Agency,0.0,THAILAND,Online,66,,29.0,2 way Comprehensive Plan,0
439,32,CWT,Travel Agency,23.76,UNITED KINGDOM,Online,105,,39.6,Rental Vehicle Excess Insurance,1
31024,55,C2B,Airlines,4.5,SINGAPORE,Online,16,M,18.0,Bronze Plan,0
34057,36,EPX,Travel Agency,0.0,INDONESIA,Online,76,,28.0,2 way Comprehensive Plan,0
50019,36,EPX,Travel Agency,0.0,SINGAPORE,Online,6,,14.0,Cancellation Plan,0
57355,36,C2B,Airlines,54.0,SINGAPORE,Online,369,F,216.0,Annual Silver Plan,1
36960,50,CWT,Travel Agency,41.58,AUSTRALIA,Online,141,,69.3,Rental Vehicle Excess Insurance,0
52732,34,EPX,Travel Agency,0.0,VIET NAM,Online,6,,10.0,Cancellation Plan,0
4763,45,C2B,Airlines,63.21,SINGAPORE,Online,366,M,252.85,Annual Silver Plan,1
48692,37,EPX,Travel Agency,0.0,INDONESIA,Online,9,,20.0,2 way Comprehensive Plan,0
51668,27,CWT,Travel Agency,23.76,THAILAND,Online,26,,39.6,Rental Vehicle Excess Insurance,0
57853,35,EPX,Travel Agency,0.0,CHINA,Online,11,,31.0,Cancellation Plan,0
26395,48,CWT,Travel Agency,59.4,UNITED KINGDOM,Online,30,,99.0,Rental Vehicle Excess Insurance,0
